"folder","guid_count","external_reference_count","referenced_by","note"
"Assets/BuildingMaterials","0","0","","Folder not present."
"Assets/Fantasy Skybox FREE","0","0","","Folder not present."
"Assets/Fresh_Raystore","0","0","","Folder not present."
"Assets/Lana Studio","0","0","","Folder not present."
"Assets/Samples","0","0","","Folder not present."
"Assets/Sprites","0","0","","Folder not present."
"Assets/TextMesh Pro","0","0","","Folder not present."
"Assets/VRTemplateAssets","0","0","","Folder not present."
"Assets/WOC","0","0","","Folder not present."
