"scene","exists","enabled_in_build_settings","has_xr_origin","has_xr_interaction_manager","has_event_system","has_xr_ui_input","status","notes"
"Assets/Scenes/MainMenu.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/WordLevel01.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/AdjectiveLevel01.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/IdentifyingColors.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/NumberLevelUI01.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/NumberInequalitiesLevel.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
"Assets/Scenes/Cashier.unity","True","True","True","True","True","True","ready_for_interactive_smoke","pre-smoke structural checks passed"
